<u>_Ub,Points_0,Points_1,Points_2
1.074143409729004,0,1.09624195098877,0
1.073930144309998,0,1.090195536613464,0
1.073406934738159,0,1.102545976638794,0
1.073321938514709,0,1.084397673606873,0
1.072773218154907,0,1.109116554260254,0
1.071131587028503,0,1.115963220596313,0
1.07073986530304,0,1.078839540481567,0
1.069116592407227,0,1.123095154762268,0
1.068512201309204,0,1.073512673377991,0
1.06799578666687,0,1.130522131919861,0
1.065574884414673,0,1.138253688812256,0
1.062938928604126,0,1.146299600601196,0
1.061394214630127,0,1.068408489227295,0
1.060136318206787,0,1.154669642448425,0
1.058686256408691,0,1.163373708724976,0
1.055691599845886,0,1.17242157459259,0
1.055686950683594,0.09090907126665115,2.577148914337158,0
1.055599451065063,0.09090907126665115,2.59638500213623,0
1.055510997772217,0.09090907126665115,2.557450294494629,0
1.0552659034729,0.09090907126665115,2.615153551101685,0
1.055075645446777,0.09090907126665115,2.537295818328857,0
1.054792761802673,0.0909087285399437,1.115963220596313,0
1.054730892181396,0.09090907871723175,2.633450746536255,0
1.054697751998901,0.09090925008058548,1.109116673469543,0
1.054437875747681,0.09090906381607056,2.516693115234375,0
1.054393291473389,0.09090907871723175,2.651273965835571,0
1.054295897483826,0.09090998023748398,1.102546095848083,0
1.05416214466095,0.09090843796730042,1.123095273971558,0
1.053636074066162,0.09090836346149445,1.130522131919861,0
1.053516864776611,0.09090906381607056,2.495651483535767,0
1.05351185798645,0.09090907871723175,2.668622016906738,0
1.052943587303162,0.09090906381607056,2.474181652069092,0
1.052616000175476,0,1.181823134422302,0
1.052478790283203,0.09091085195541382,1.096242070198059,0
1.052423715591431,0.09090907871723175,2.685494184494019,0
1.052276134490967,0.09090844541788101,1.138253688812256,0
1.052115678787231,0,2.59638500213623,0
1.052106976509094,0,2.577148914337158,0
1.051860570907593,0,2.615153551101685,0
1.051835179328918,0,2.557450294494629,0
1.051593542098999,0,2.537295818328857,0
1.051378130912781,0,2.633450746536255,0
1.05112636089325,0.09090907871723175,2.701891660690308,0
1.05102002620697,0.09090906381607056,2.452295303344727,0
1.050940632820129,0,2.516693115234375,0
1.0506511926651,0,2.651273965835571,0
1.050586819648743,0.09090862423181534,1.146299600601196,0
1.050037026405334,0,2.495651483535767,0
1.049694180488586,0,2.668622016906738,0
1.049618005752563,0.09090905636548996,2.430006265640259,0
1.049602389335632,0.09090908616781235,2.717816114425659,0
1.049508690834045,0,1.191588163375854,0
1.049070119857788,0,1.063518881797791,0
1.048912167549133,0,2.474181652069092,0
1.048887252807617,0.09091179072856903,1.090195775032043,0
1.048659801483154,0.09090885519981384,1.154669642448425,0
1.048532724380493,0,2.685494184494019,0
1.048012971878052,0.09090905636548996,2.407329559326172,0
1.047949075698853,0,1.201726198196411,0
1.047848582267761,0.09090908616781235,2.733270406723022,0
1.047621488571167,0.09090905636548996,1.163373708724976,0
1.04754364490509,0,2.452295303344727,0
1.047181963920593,0.09090905636548996,2.384281158447266,0
1.047146320343018,0,2.701891660690308,0
1.046812415122986,0,2.430006265640259,0
1.046228647232056,0.09091265499591827,1.084397912025452,0
