       1.0512693e-17,      -2.4143075e-06,      -2.7922294e-07,       1.9154294e-07,       6.3801161e-09,       6.9355699e-08,       9.3222585e-09,       8.5314948e-10,       4.2529037e-08
       5.1306625e-03,      -5.5947641e-02,      -3.9897138e-05,      -6.6810929e-04,       3.6399731e-03,       2.1521324e-05,       4.1047056e-03,       1.3107001e-05,       3.8831000e-03
       1.0401558e-02,      -1.0063794e-01,      -1.5517945e-04,      -1.3250265e-03,       1.0095375e-02,       2.1673302e-04,       1.1522750e-02,       4.2584527e-05,       1.0917429e-02
       1.5816011e-02,      -1.3396099e-01,      -3.4504055e-04,      -1.8886236e-03,       1.5729473e-02,       7.0372508e-04,       1.8153357e-02,       2.0867451e-06,       1.7293278e-02
       2.1377395e-02,      -1.5785011e-01,      -6.0936643e-04,      -2.3081864e-03,       1.9827714e-02,       1.4691029e-03,       2.3154067e-02,      -1.4765954e-04,       2.2225442e-02
       2.7089130e-02,      -1.7478215e-01,      -9.4604201e-04,      -2.6013259e-03,       2.2691825e-02,       2.4453237e-03,       2.6822952e-02,      -3.8549750e-04,       2.5980051e-02
       3.2954683e-02,      -1.8666105e-01,      -1.3493447e-03,      -2.8120482e-03,       2.4688061e-02,       3.5622291e-03,       2.9497850e-02,      -6.8656267e-04,       2.8874070e-02
       3.8977569e-02,      -1.9487194e-01,      -1.8125816e-03,      -2.9732563e-03,       2.6107722e-02,       4.7612717e-03,       3.1461022e-02,      -1.0306942e-03,       3.1165008e-02
       4.5161342e-02,      -2.0035923e-01,      -2.3338555e-03,      -3.1032761e-03,       2.7142196e-02,       5.9980612e-03,       3.2912009e-02,      -1.4028339e-03,       3.3026133e-02
       5.1509600e-02,      -2.0376945e-01,      -2.9144672e-03,      -3.2020220e-03,       2.7923500e-02,       7.2434481e-03,       3.3986460e-02,      -1.7946683e-03,       3.4576704e-02
       5.8025982e-02,      -2.0556294e-01,      -3.5549286e-03,      -3.2679391e-03,       2.8544108e-02,       8.4787278e-03,       3.4775407e-02,      -2.1995527e-03,       3.5899122e-02
       6.4714163e-02,      -2.0608101e-01,      -4.2548047e-03,      -3.3138952e-03,       2.9064471e-02,       9.6927704e-03,       3.5337081e-02,      -2.6131670e-03,       3.7047161e-02
       7.1577853e-02,      -2.0557419e-01,      -5.0118416e-03,      -3.3613797e-03,       2.9531539e-02,       1.0879277e-02,       3.5706891e-02,      -3.0313502e-03,       3.8058854e-02
       7.8620797e-02,      -2.0424539e-01,      -5.8195130e-03,      -3.4240828e-03,       2.9978977e-02,       1.2032399e-02,       3.5924676e-02,      -3.4507593e-03,       3.8968026e-02
       8.5846769e-02,      -2.0224328e-01,      -6.6704928e-03,      -3.5123891e-03,       3.0427944e-02,       1.3143518e-02,       3.6038138e-02,      -3.8687295e-03,       3.9804800e-02
